,result,table,_start,_stop,_time,_value,_field,_measurement
,_result,0,2022-01-01T00:00:00Z,2023-09-05T00:00:00Z,2023-08-01T10:37:52Z,1486,currentMa,zettalight
,_result,0,2022-01-01T00:00:00Z,2023-09-05T00:00:00Z,2023-08-01T10:40:52Z,1427,currentMa,zettalight
,_result,0,2022-01-01T00:00:00Z,2023-09-05T00:00:00Z,2023-08-01T10:43:52Z,1109,currentMa,zettalight
,_result,0,2022-01-01T00:00:00Z,2023-09-05T00:00:00Z,2023-08-01T10:46:52Z,837,currentMa,zettalight
,_result,0,2022-01-01T00:00:00Z,2023-09-05T00:00:00Z,2023-08-01T10:49:52Z,501,currentMa,zettalight
,_result,0,2022-01-01T00:00:00Z,2023-09-05T00:00:00Z,2023-08-01T10:52:52Z,835,currentMa,zettalight
,_result,0,2022-01-01T00:00:00Z,2023-09-05T00:00:00Z,2023-08-01T10:55:52Z,783,currentMa,zettalight
,_result,0,2022-01-01T00:00:00Z,2023-09-05T00:00:00Z,2023-08-01T10:58:52Z,1168,currentMa,zettalight
,_result,0,2022-01-01T00:00:00Z,2023-09-05T00:00:00Z,2023-08-01T11:01:52Z,1216,currentMa,zettalight
,_result,0,2022-01-01T00:00:00Z,2023-09-05T00:00:00Z,2023-08-01T11:04:52Z,821,currentMa,zettalight
,_result,0,2022-01-01T00:00:00Z,2023-09-05T00:00:00Z,2023-08-01T11:07:52Z,1526,currentMa,zettalight
,_result,0,2022-01-01T00:00:00Z,2023-09-05T00:00:00Z,2023-08-01T11:10:52Z,1459,currentMa,zettalight
,_result,0,2022-01-01T00:00:00Z,2023-09-05T00:00:00Z,2023-08-01T11:13:52Z,1381,currentMa,zettalight
,_result,0,2022-01-01T00:00:00Z,2023-09-05T00:00:00Z,2023-08-01T11:16:52Z,1241,currentMa,zettalight
,_result,0,2022-01-01T00:00:00Z,2023-09-05T00:00:00Z,2023-08-01T11:19:52Z,1383,currentMa,zettalight
,_result,0,2022-01-01T00:00:00Z,2023-09-05T00:00:00Z,2023-08-01T11:22:52Z,1544,currentMa,zettalight
,_result,0,2022-01-01T00:00:00Z,2023-09-05T00:00:00Z,2023-08-01T11:25:51Z,1165,currentMa,zettalight
,_result,0,2022-01-01T00:00:00Z,2023-09-05T00:00:00Z,2023-08-01T11:28:51Z,972,currentMa,zettalight
,_result,0,2022-01-01T00:00:00Z,2023-09-05T00:00:00Z,2023-08-01T11:31:52Z,1027,currentMa,zettalight
,_result,0,2022-01-01T00:00:00Z,2023-09-05T00:00:00Z,2023-08-01T11:34:52Z,1120,currentMa,zettalight
,_result,0,2022-01-01T00:00:00Z,2023-09-05T00:00:00Z,2023-08-01T11:37:52Z,1066,currentMa,zettalight
,_result,0,2022-01-01T00:00:00Z,2023-09-05T00:00:00Z,2023-08-01T11:40:52Z,895,currentMa,zettalight
